Ligand,Affinity,Receptor
Ligand_0169.pdbqt,-0.1677,1Y8P
Ligand_0254.pdbqt,-0.1675,1Y8P
Ligand_0049.pdbqt,-0.1671,1Y8P
Ligand_0083.pdbqt,-0.167,1Y8P
Ligand_0170.pdbqt,-0.167,1Y8P
Ligand_0207.pdbqt,-0.1664,1Y8P
Ligand_0214.pdbqt,-0.1659,1Y8P
Ligand_0093.pdbqt,-0.1657,1Y8P
Ligand_0075.pdbqt,-0.1655,1Y8P
Ligand_0129.pdbqt,-0.164,1Y8P
Ligand_0054.pdbqt,-0.1636,1Y8P
Ligand_0190.pdbqt,-0.1626,1Y8P
Ligand_0164.pdbqt,-0.1615,1Y8P
Ligand_0128.pdbqt,-0.1597,1Y8P
Ligand_0237.pdbqt,-0.158,1Y8P
Ligand_0173.pdbqt,-0.157,1Y8P
Ligand_0230.pdbqt,-0.1568,1Y8P
Ligand_0013.pdbqt,-0.1566,1Y8P
Ligand_0004.pdbqt,-0.1531,1Y8P
Ligand_0011.pdbqt,-0.153,1Y8P
Ligand_0144.pdbqt,-0.1526,1Y8P
Ligand_0212.pdbqt,-0.1515,1Y8P
Ligand_0198.pdbqt,-0.1493,1Y8P
Ligand_0055.pdbqt,-0.1492,1Y8P
Ligand_0248.pdbqt,-0.1384,1Y8P
Ligand_0153.pdbqt,-0.1383,1Y8P
Ligand_0184.pdbqt,-0.1379,1Y8P
Ligand_0224.pdbqt,-0.137,1Y8P
Ligand_0210.pdbqt,-0.1368,1Y8P
Ligand_0161.pdbqt,-0.1366,1Y8P
Ligand_0120.pdbqt,-0.1352,1Y8P
Ligand_0209.pdbqt,-0.135,1Y8P
Ligand_0135.pdbqt,-0.135,1Y8P
Ligand_0031.pdbqt,-0.1346,1Y8P
Ligand_0235.pdbqt,-0.1328,1Y8P
Ligand_0026.pdbqt,-0.1323,1Y8P
Ligand_0255.pdbqt,-0.132,1Y8P
Ligand_0065.pdbqt,-0.1319,1Y8P
Ligand_0181.pdbqt,-0.1314,1Y8P
Ligand_0061.pdbqt,-0.1314,1Y8P
Ligand_0150.pdbqt,-0.1308,1Y8P
Ligand_0037.pdbqt,-0.1295,1Y8P
Ligand_0180.pdbqt,-0.1289,1Y8P
Ligand_0174.pdbqt,-0.1288,1Y8P
Ligand_0012.pdbqt,-0.1285,1Y8P
Ligand_0125.pdbqt,-0.1275,1Y8P
Ligand_0002.pdbqt,-0.1271,1Y8P
Ligand_0085.pdbqt,-0.1265,1Y8P
Ligand_0239.pdbqt,-0.1263,1Y8P
Ligand_0059.pdbqt,-0.1247,1Y8P
Ligand_0151.pdbqt,-0.1239,1Y8P
Ligand_0148.pdbqt,-0.1234,1Y8P
Ligand_0001.pdbqt,-0.1233,1Y8P
Ligand_0102.pdbqt,-0.1218,1Y8P
Ligand_0096.pdbqt,-0.1213,1Y8P
Ligand_0191.pdbqt,-0.1203,1Y8P
Ligand_0058.pdbqt,-0.1196,1Y8P
Ligand_0124.pdbqt,-0.118,1Y8P
Ligand_0064.pdbqt,-0.1175,1Y8P
Ligand_0088.pdbqt,-0.1165,1Y8P
Ligand_0095.pdbqt,-0.1164,1Y8P
Ligand_0178.pdbqt,-0.1164,1Y8P
Ligand_0246.pdbqt,-0.1155,1Y8P
Ligand_0057.pdbqt,-0.1131,1Y8P
Ligand_0032.pdbqt,-0.1119,1Y8P
Ligand_0003.pdbqt,-0.1119,1Y8P
Ligand_0197.pdbqt,-0.1116,1Y8P
Ligand_0111.pdbqt,-0.1112,1Y8P
Ligand_0087.pdbqt,-0.11,1Y8P
Ligand_0179.pdbqt,-0.11,1Y8P
Ligand_0089.pdbqt,-0.11,1Y8P
Ligand_0063.pdbqt,-0.1098,1Y8P
Ligand_0163.pdbqt,-0.1081,1Y8P
Ligand_0035.pdbqt,-0.1079,1Y8P
Ligand_0030.pdbqt,-0.1073,1Y8P
Ligand_0029.pdbqt,-0.1068,1Y8P
Ligand_0126.pdbqt,-0.1052,1Y8P
Ligand_0073.pdbqt,-0.1045,1Y8P
Ligand_0005.pdbqt,-0.1032,1Y8P
Ligand_0024.pdbqt,-0.1028,1Y8P
Ligand_0167.pdbqt,-0.1014,1Y8P
Ligand_0027.pdbqt,-0.1008,1Y8P
Ligand_0165.pdbqt,-0.09954,1Y8P
Ligand_0060.pdbqt,-0.09928,1Y8P
Ligand_0066.pdbqt,-0.09787,1Y8P
Ligand_0028.pdbqt,-0.09771,1Y8P
Ligand_0080.pdbqt,-0.0976,1Y8P
Ligand_0025.pdbqt,-0.09619,1Y8P
Ligand_0100.pdbqt,-0.09061,1Y8P
Ligand_0067.pdbqt,-0.09058,1Y8P
Ligand_0097.pdbqt,-0.09055,1Y8P
Ligand_0062.pdbqt,-0.08977,1Y8P
Ligand_0233.pdbqt,-0.0881,1Y8P
Ligand_0231.pdbqt,-0.08556,1Y8P
Ligand_0226.pdbqt,-0.08318,1Y8P
Ligand_0023.pdbqt,-0.08095,1Y8P
Ligand_0162.pdbqt,-0.07854,1Y8P
Ligand_0243.pdbqt,-0.07784,1Y8P
Ligand_0256.pdbqt,-0.07522,1Y8P
Ligand_0234.pdbqt,-0.07436,1Y8P
Ligand_0077.pdbqt,-0.0705,1Y8P
Ligand_0091.pdbqt,-0.06822,1Y8P
Ligand_0034.pdbqt,-0.06819,1Y8P
Ligand_0090.pdbqt,-0.06659,1Y8P
Ligand_0112.pdbqt,-0.06307,1Y8P
Ligand_0074.pdbqt,-0.05653,1Y8P
Ligand_0007.pdbqt,-0.05379,1Y8P
Ligand_0215.pdbqt,-0.05309,1Y8P
Ligand_0033.pdbqt,-0.04818,1Y8P
Ligand_0081.pdbqt,-0.04612,1Y8P
Ligand_0132.pdbqt,-0.0197,1Y8P
Ligand_0092.pdbqt,0.0,1Y8P
Ligand_0086.pdbqt,0.0,1Y8P
Ligand_0094.pdbqt,0.0,1Y8P
Ligand_0141.pdbqt,0.0,1Y8P
Ligand_0025.pdbqt,0.0,1NEN
Ligand_0026.pdbqt,0.0,1NEN
Ligand_0027.pdbqt,0.0,1NEN
Ligand_0028.pdbqt,0.0,1NEN
Ligand_0029.pdbqt,0.0,1NEN
